date,open,high,low,close,adjusted_close,volume
2022-05-10,2320.81,2333.82,2267.666,2291.69,114.4543,31157780
2022-05-11,2274.21,2333.42,2273.0,2279.22,113.8315,36501640
2022-05-12,2238.76,2297.13,2202.27,2263.22,113.0324,41464880
2022-05-13,2296.91,2361.7,2280.0,2330.31,116.3831,29737560
2022-05-16,2307.68,2332.15,2286.7,2295.85,114.662,23282380
2022-05-17,2344.55,2344.55,2306.75,2334.03,116.5688,21576080
2022-05-18,2304.75,2313.913,2242.84,2248.02,112.2732,27982760
2022-05-19,2236.82,2271.75,2209.36,2214.91,110.6196,29191740
2022-05-20,2241.71,2251.0,2127.46,2186.26,109.1887,37586020
2022-05-23,2202.08,2240.11,2183.085,2233.33,111.5396,31558220
2022-05-24,2127.55,2127.9,2044.16,2118.52,105.8056,60386380
2022-05-25,2102.84,2130.894,2084.225,2116.79,105.7192,37899340
2022-05-26,2121.01,2179.105,2109.76,2165.92,108.1729,30287480
2022-05-27,2195.77,2257.36,2191.0,2255.98,112.6708,29924420
2022-05-31,2261.58,2328.67,2251.45,2280.78,113.9094,51301920
2022-06-01,2298.63,2347.98,2271.01,2282.74,114.0073,28629280
2022-06-02,2283.76,2357.96,2266.16,2354.92,117.6122,27495400
2022-06-03,2319.85,2327.29,2273.36,2291.28,114.4338,24952080
2022-06-06,2334.85,2387.969,2330.566,2340.21,116.8775,23786720
2022-06-07,2312.96,2354.972,2302.51,2344.59,117.0962,26413540
2022-06-08,2337.53,2372.92,2333.935,2344.76,117.1047,22544260
2022-06-09,2326.83,2367.0,2297.34,2298.36,114.7874,23141600
2022-06-10,2255.625,2269.94,2217.22,2228.55,111.3008,31349740
2022-06-13,2148.92,2184.37,2131.761,2137.53,106.755,36756200
2022-06-14,2137.8,2169.15,2127.04,2143.88,107.0722,25480940
2022-06-15,2177.99,2241.26,2162.375,2207.81,110.265,33192020
2022-06-16,2162.99,2185.81,2115.85,2132.72,106.5148,35313240
2022-06-17,2130.7,2184.99,2112.571,2157.31,107.7429,43516660
2022-06-21,2194.04,2253.46,2185.87,2240.3,111.8877,39010280
2022-06-22,2223.26,2275.39,2214.486,2240.68,111.9067,23921720
2022-06-23,2259.0,2263.93,2220.58,2253.69,112.5564,24709720
2022-06-24,2272.06,2372.75,2272.06,2370.76,118.4033,39122760
2022-06-27,2378.7,2385.0,2320.015,2332.45,116.4899,32839300
2022-06-28,2327.02,2357.13,2248.88,2251.43,112.4435,28316220
2022-06-29,2242.97,2273.29,2231.08,2245.13,112.1289,18627860
2022-06-30,2209.99,2226.596,2146.2,2187.45,109.2482,38046040
2022-07-01,2166.74,2196.127,2142.1,2181.62,108.957,31027880
2022-07-05,2150.29,2281.052,2124.99,2277.74,113.7575,36429380
2022-07-06,2281.84,2327.04,2245.01,2304.27,115.0825,28852680
2022-07-07,2320.16,2397.24,2310.68,2386.12,119.1704,32183940
